Landsat Product Identifier,Landsat Scene Identifier,Acquisition Date,Collection Category,Collection Number,WRS Path,WRS Row,Target WRS Path,Target WRS Row,Nadir/Off Nadir,Roll Angle,Date L-1 Generated,Start Time,Stop Time,Station Identifier,Land Cloud Cover,Scene Cloud Cover,Ground Control Points Model,Ground Control Points Version,Geometric RMSE Model (meters),Geometric RMSE Model X,Geometric RMSE Model Y,Image Quality,Processing Software Version,Sun Elevation L1,Sun Azimuth L1,TIRS SSM Model,Data Type Level-1,Sensor Identifier,Panchromatic Lines,Panchromatic Samples,Reflective Lines,Reflective Samples,Thermal Lines,Thermal Samples,Map Projection Level-1,UTM Zone,Datum,Ellipsoid,Grid Cell Size Panchromatic,Grid Cell Size Reflective,Grid Cell Size Thermal,Bias Parameter File Name OLI,Bias Parameter File Name TIRS, Calibration Parameter File,RLUT File Name,Center Latitude,Center Longitude,UL Corner Lat,UL Corner Long,UR Corner Lat,UR Corner Long,LL Corner Lat,LL Corner Long,LR Corner Lat,LR Corner Long,Center Latitude dec,Center Longitude dec,UL Corner Lat dec,UL Corner Long dec,UR Corner Lat dec,UR Corner Long dec,LL Corner Lat dec,LL Corner Long dec,LR Corner Lat dec,LR Corner Long dec,Display ID,Ordering ID,Browse Link
LC08_L1GT_172115_20170207_20170216_01_T2,LC81721152017038LGN00,2017/02/07,T2,1, 172, 115,172, 115,NADIR,0,2017/02/16,2017:038:08:29:11.0046540,2017:038:08:29:42.7746510,LGN,0,0,-1,4,,,,9,LPGS_2.7.0,19.47549752,72.72358216,FINAL,OLI_TIRS_L1GT,OLI_TIRS,17281,17381,8641,8691,8641,8691,PS,,WGS84,WGS84,15,30,30,LO8BPF20170207074656_20170207083311.02,LT8BPF20170126100746_20170211131243.01,LC08CPF_20170101_20170331_01.01,LC08RLUT_20150303_20431231_01_12.h5,77°02'52.94"S,12°43'22.15"W,75°49'00.05"S,13°12'57.46"W,76°53'40.16"S,7°16'48.18"W,77°05'38.80"S,18°15'45.61"W,78°16'56.28"S,12°07'44.51"W,-77.04804,-12.72282,-75.81668,-13.21596,-76.89449,-7.28005,-77.09411,-18.26267,-78.2823,-12.12903,LC08_L1GT_172115_20170207_20170216_01_T2,LC08_L1GT_172115_20170207_20170216_01_T2,https://earthexplorer.usgs.gov/browse-link/13400/LC81721152017038LGN00
LC08_L1GT_003111_20170207_20170216_01_T2,LC80031112017038LGN00,2017/02/07,T2,1, 003, 111,3, 111,NADIR,0,2017/02/16,2017:038:15:03:06.9548720,2017:038:15:03:38.7248700,LGN,89.5,91.17,-1,4,,,,9,LPGS_2.7.0,24.16515291,62.42374543,FINAL,OLI_TIRS_L1GT,OLI_TIRS,16661,16541,8331,8271,8331,8271,PS,,WGS84,WGS84,15,30,30,LO8BPF20170207092549_20170207150818.01,LT8BPF20170126100746_20170211131243.01,LC08CPF_20170101_20170331_01.01,LC08RLUT_20150303_20431231_01_12.h5,72°12'24.88"S,99°12'42.62"W,71°01'09.88"S,100°18'23.80"W,71°50'02.33"S,95°23'39.59"W,72°30'39.17"S,103°10'41.05"W,73°23'29.36"S,97°57'50.54"W,-72.20691,-99.21184,-71.01941,-100.30661,-71.83398,-95.39433,-72.51088,-103.17807,-73.39149,-97.96404,LC08_L1GT_003111_20170207_20170216_01_T2,LC08_L1GT_003111_20170207_20170216_01_T2,https://earthexplorer.usgs.gov/browse-link/13400/LC80031112017038LGN00
LC08_L1GT_204019_20170207_20170216_01_T2,LC82040192017038LGN00,2017/02/07,T2,1, 204, 019,204, 019,NADIR,-.001,2017/02/16,2017:038:11:08:39.8651730,2017:038:11:09:11.6351700,LGN,100,99.99,-1,4,0,0,0,9,LPGS_2.7.0,14.85656494,163.23336947,FINAL,OLI_TIRS_L1GT,OLI_TIRS,16061,15881,8031,7941,8031,7941,UTM,30,WGS84,WGS84,15,30,30,LO8BPF20170207110729_20170207124423.02,LT8BPF20170126100746_20170211131243.01,LC08CPF_20170101_20170331_01.01,LC08RLUT_20150303_20431231_01_12.h5,58°42'13.82"N,0°29'44.66"W,59°47'42.11"N,1°35'47.58"W,59°15'29.56"N,1°37'53.58"E,58°06'55.26"N,2°33'29.63"W,57°35'39.19"N,0°31'40.76"E,58.70384,-.49574,59.79503,-1.59655,59.25821,1.63155,58.11535,-2.55823,57.59422,.52799,LC08_L1GT_204019_20170207_20170216_01_T2,LC08_L1GT_204019_20170207_20170216_01_T2,https://earthexplorer.usgs.gov/browse-link/13400/LC82040192017038LGN00
LC08_L1TP_139026_20151228_20180524_01_T1,LC81390262015362LGN02,2015/12/28,T1,1, 139, 026,139, 026,NADIR,-.001,2018/05/24,2015:362:04:29:52.6166300,2015:362:04:30:24.3866270,LGN,79.45,79.45,57,4,8.924,6.706,5.888,9,LPGS_13.1.0,16.11821347,163.07384014,FINAL,OLI_TIRS_L1TP,OLI_TIRS,15701,15481,7851,7741,7851,7741,UTM,46,WGS84,WGS84,15,30,30,LO8BPF20151228042555_20151228060448.01,LT8BPF20151225202015_20160110080819.04,LC08CPF_20151001_20151231_01.01,LC08RLUT_20150303_20431231_01_12.h5,48°51'58.32"N,95°02'33.40"E,49°55'53.11"N,94°06'24.37"E,49°28'57.68"N,96°39'55.91"E,48°13'35.80"N,93°27'25.81"E,47°47'02.65"N,95°55'57.36"E,48.8662,95.04261,49.93142,94.10677,49.48269,96.66553,48.22661,93.45717,47.78407,95.9326,LC08_L1TP_139026_20151228_20180524_01_T1,LC08_L1TP_139026_20151228_20180524_01_T1,https://earthexplorer.usgs.gov/browse-link/13400/LC81390262015362LGN02
LC08_L1GT_140120_20170207_20180524_01_T2,LC81401202017038LGN01,2017/02/07,T2,1, 140, 120,140, 120,NADIR,0,2018/05/24,2017:038:05:13:25.0902500,2017:038:05:13:56.8602470,LGN,8.26,8.26,-1,4,,,,9,LPGS_13.1.0,13.45245996,103.01998989,FINAL,OLI_TIRS_L1GT,OLI_TIRS,15741,15541,7871,7771,7871,7771,PS,,WGS84,WGS84,15,30,30,LO8BPF20170207025017_20170207060803.01,LT8BPF20170126100746_20170211131243.01,LC08CPF_20170101_20170331_01.03,LC08RLUT_20150303_20431231_01_12.h5,81°22'12.72"S,4°14'53.99"E,80°14'16.19"S,7°22'03.43"E,81°50'51.90"S,12°04'23.99"E,80°45'23.26"S,2°41'49.56"W,82°28'22.58"S,0°11'30.59"E,-81.3702,4.24833,-80.23783,7.36762,-81.84775,12.07333,-80.75646,-2.6971,-82.47294,.19183,LC08_L1GT_140120_20170207_20180524_01_T2,LC08_L1GT_140120_20170207_20180524_01_T2,https://earthexplorer.usgs.gov/browse-link/13400/LC81401202017038LGN01
LC08_L1TP_204023_20170207_20170216_01_T1,LC82040232017038LGN00,2017/02/07,T1,1, 204, 023,204, 023,NADIR,-.001,2017/02/16,2017:038:11:10:15.3742560,2017:038:11:10:47.1442540,LGN,19.83,22.97,281,4,8.321,5.505,6.24,9,LPGS_2.7.0,19.70894193,160.0662921,FINAL,OLI_TIRS_L1TP,OLI_TIRS,16161,15961,8081,7981,8081,7981,UTM,30,WGS84,WGS84,15,30,30,LO8BPF20170207110729_20170207124423.02,LT8BPF20170126100746_20170211131243.01,LC08CPF_20170101_20170331_01.01,LC08RLUT_20150303_20431231_01_12.h5,53°06'09.54"N,3°31'30.11"W,54°10'36.80"N,4°31'42.13"W,53°41'49.52"N,1°43'19.74"W,52°28'52.07"N,5°16'50.48"W,52°00'38.45"N,2°34'42.49"W,53.10265,-3.52503,54.17689,-4.52837,53.69709,-1.72215,52.48113,-5.28069,52.01068,-2.57847,LC08_L1TP_204023_20170207_20170216_01_T1,LC08_L1TP_204023_20170207_20170216_01_T1,https://earthexplorer.usgs.gov/browse-link/13400/LC82040232017038LGN00
LC08_L1GT_204116_20170207_20170216_01_T2,LC82041162017038LGN00,2017/02/07,T2,1, 204, 116,204, 116,NADIR,0,2017/02/16,2017:038:11:47:21.1548420,2017:038:11:47:52.9248400,LGN,0,0,-1,4,,,,9,LPGS_2.7.0,18.21472449,76.82981438,FINAL,OLI_TIRS_L1GT,OLI_TIRS,16721,16861,8361,8431,8361,8431,PS,,WGS84,WGS84,15,30,30,LO8BPF20170207110729_20170207124423.02,LT8BPF20170126100746_20170211131243.01,LC08CPF_20170101_20170331_01.01,LC08RLUT_20150303_20431231_01_12.h5,78°08'33.43"S,66°45'28.26"W,76°54'22.32"S,66°53'02.26"W,78°04'31.30"S,60°45'53.82"W,78°05'25.48"S,72°46'34.25"W,79°22'58.48"S,66°36'20.45"W,-78.14262,-66.75785,-76.9062,-66.88396,-78.07536,-60.76495,-78.09041,-72.77618,-79.38291,-66.60568,LC08_L1GT_204116_20170207_20170216_01_T2,LC08_L1GT_204116_20170207_20170216_01_T2,https://earthexplorer.usgs.gov/browse-link/13400/LC82041162017038LGN00
LC08_L1TP_156036_20170207_20170216_01_T1,LC81560362017038LGN00,2017/02/07,T1,1, 156, 036,156, 036,NADIR,-.001,2017/02/16,2017:038:06:18:46.8888410,2017:038:06:19:18.6588390,LGN,7.15,7.15,347,4,9.69,7.279,6.396,9,LPGS_2.7.0,34.88610039,150.49622514,FINAL,OLI_TIRS_L1TP,OLI_TIRS,15561,15281,7781,7641,7781,7641,UTM,41,WGS84,WGS84,15,30,30,LO8BPF20170207060803_20170207065418.02,LT8BPF20170126100746_20170211131243.01,LC08CPF_20170101_20170331_01.01,LC08RLUT_20150303_20431231_01_12.h5,34°36'38.16"N,64°00'48.06"E,35°39'36.94"N,63°13'53.94"E,35°16'08.98"N,65°16'40.62"E,33°56'15.14"N,62°46'01.24"E,33°32'49.02"N,64°46'16.61"E,34.6106,64.01335,35.66026,63.23165,35.26916,65.27795,33.93754,62.76701,33.54695,64.77128,LC08_L1TP_156036_20170207_20170216_01_T1,LC08_L1TP_156036_20170207_20170216_01_T1,https://earthexplorer.usgs.gov/browse-link/13400/LC81560362017038LGN00
LC08_L1GT_188119_20170207_20170216_01_T2,LC81881192017038LGN00,2017/02/07,T2,1, 188, 119,188, 119,NADIR,0,2017/02/16,2017:038:10:09:40.1749300,2017:038:10:10:11.9449270,LGN,0,0,-1,4,,,,9,LPGS_2.7.0,14.60331182,94.78533475,FINAL,OLI_TIRS_L1GT,OLI_TIRS,12941,13181,6471,6591,6471,6591,PS,,WGS84,WGS84,15,30,30,LO8BPF20170207092549_20170207101204.02,LT8BPF20170126100746_20170211131243.01,LC08CPF_20170101_20170331_01.01,LC08RLUT_20150303_20431231_01_12.h5,80°47'22.20"S,61°17'28.43"W,79°36'01.87"S,59°17'17.66"W,81°05'54.35"S,53°40'45.26"W,80°20'16.48"S,68°20'30.01"W,81°58'03.32"S,63°53'31.74"W,-80.7895,-61.29123,-79.60052,-59.28824,-81.09843,-53.67924,-80.33791,-68.34167,-81.96759,-63.89215,LC08_L1GT_188119_20170207_20170216_01_T2,LC08_L1GT_188119_20170207_20170216_01_T2,https://earthexplorer.usgs.gov/browse-link/13400/LC81881192017038LGN00
LC08_L1TP_220077_20160527_20180528_01_T1,LC82200772016148LGN02,2016/05/27,T1,1, 220, 077,220, 077,NADIR,-.001,2018/05/28,2016:148:13:10:18.8077380,2016:148:13:10:50.5777350,LGN,99.04,98.82,17,4,9.887,7.753,6.135,9,LPGS_13.1.0,35.52626625,34.96255417,FINAL,OLI_TIRS_L1TP,OLI_TIRS,15721,15561,7861,7781,7861,7781,UTM,22,WGS84,WGS84,15,30,30,LO8BPF20160527121809_20160527141833.01,LT8BPF20160522121054_20160606055146.01,LC08CPF_20160401_20160630_01.01,LC08RLUT_20150303_20431231_01_12.h5,24°33'11.81"S,48°24'30.92"W,23°30'11.38"S,49°07'04.40"W,23°52'39.50"S,47°16'47.35"W,25°13'32.88"S,49°33'00.83"W,25°36'19.69"S,47°41'12.16"W,-24.55328,-48.40859,-23.50316,-49.11789,-23.87764,-47.27982,-25.2258,-49.55023,-25.60547,-47.68671,LC08_L1TP_220077_20160527_20180528_01_T1,LC08_L1TP_220077_20160527_20180528_01_T1,https://earthexplorer.usgs.gov/browse-link/13400/LC82200772016148LGN02
LC08_L1TP_156035_20170207_20170216_01_T1,LC81560352017038LGN00,2017/02/07,T1,1, 156, 035,156, 035,NADIR,-.001,2017/02/16,2017:038:06:18:22.9978030,2017:038:06:18:54.7678010,LGN,8.17,8.17,406,4,9.086,6.854,5.964,9,LPGS_2.7.0,33.7571335,151.30213526,FINAL,OLI_TIRS_L1TP,OLI_TIRS,15521,15261,7761,7631,7761,7631,UTM,41,WGS84,WGS84,15,30,30,LO8BPF20170207060803_20170207065418.02,LT8BPF20170126100746_20170211131243.01,LC08CPF_20170101_20170331_01.01,LC08RLUT_20150303_20431231_01_12.h5,36°02'35.74"N,64°25'22.22"E,37°05'37.82"N,63°37'44.62"E,36°41'56.26"N,65°42'45.14"E,35°22'20.57"N,63°09'10.15"E,34°58'42.13"N,65°11'28.72"E,36.04326,64.42284,37.09384,63.62906,36.69896,65.71254,35.37238,63.15282,34.97837,65.19131,LC08_L1TP_156035_20170207_20170216_01_T1,LC08_L1TP_156035_20170207_20170216_01_T1,https://earthexplorer.usgs.gov/browse-link/13400/LC81560352017038LGN00
LC08_L1GT_220107_20170327_20180528_01_T2,LC82201072017086LGN01,2017/03/27,T2,1, 220, 107,220, 107,NADIR,0,2018/05/28,2017:086:13:22:15.4634470,2017:086:13:22:47.2334450,LGN,100,99.99,-1,4,,,,9,LPGS_13.1.0,12.54053781,49.42437843,FINAL,OLI_TIRS_L1GT,OLI_TIRS,18681,18701,9341,9351,9341,9351,PS,,WGS84,WGS84,15,30,30,LO8BPF20170327104936_20170327141918.01,LT8BPF20170327085754_20170411160422.01,LC08CPF_20170101_20170331_01.03,LC08RLUT_20150303_20431231_01_12.h5,66°56'21.34"S,67°14'30.84"W,65°47'38.94"S,68°24'21.82"W,66°27'08.96"S,64°22'16.97"W,67°22'48.11"S,70°13'34.00"W,68°04'44.44"S,65°57'37.98"W,-66.93926,-67.2419,-65.79415,-68.40606,-66.45249,-64.37138,-67.38003,-70.22611,-68.07901,-65.96055,LC08_L1GT_220107_20170327_20180528_01_T2,LC08_L1GT_220107_20170327_20180528_01_T2,https://earthexplorer.usgs.gov/browse-link/13400/LC82201072017086LGN01
LC08_L1GT_220108_20170207_20170216_01_T2,LC82201082017038LGN00,2017/02/07,T2,1, 220, 108,220, 108,NADIR,0,2017/02/16,2017:038:13:23:02.0526400,2017:038:13:23:33.8226370,LGN,61.11,84.07,-1,4,,,,9,LPGS_2.7.0,27.71298772,58.55051981,FINAL,OLI_TIRS_L1GT,OLI_TIRS,18601,18621,9301,9311,9301,9311,PS,,WGS84,WGS84,15,30,30,LO8BPF20170207124423_20170207132949.02,LT8BPF20170126100746_20170211131243.01,LC08CPF_20170101_20170331_01.01,LC08RLUT_20150303_20431231_01_12.h5,68°16'47.64"S,68°46'25.07"W,67°07'30.36"S,69°56'19.93"W,67°48'57.60"S,65°42'36.79"W,68°41'35.27"S,71°57'36.32"W,69°25'46.85"S,67°28'54.59"W,-68.2799,-68.77363,-67.1251,-69.93887,-67.816,-65.71022,-68.69313,-71.96009,-69.42968,-67.48183,LC08_L1GT_220108_20170207_20170216_01_T2,LC08_L1GT_220108_20170207_20170216_01_T2,https://earthexplorer.usgs.gov/browse-link/13400/LC82201082017038LGN00
LC08_L1GT_188120_20170207_20170216_01_T2,LC81881202017038LGN00,2017/02/07,T2,1, 188, 120,188, 120,NADIR,0,2017/02/16,2017:038:10:10:04.1549240,2017:038:10:10:35.9249210,LGN,0,0,-1,4,,,,9,LPGS_2.7.0,13.38682691,103.01898699,FINAL,OLI_TIRS_L1GT,OLI_TIRS,12881,13121,6441,6561,6441,6561,PS,,WGS84,WGS84,15,30,30,LO8BPF20170207092549_20170207101204.02,LT8BPF20170126100746_20170211131243.01,LC08CPF_20170101_20170331_01.01,LC08RLUT_20150303_20431231_01_12.h5,81°22'04.26"S,69°55'13.98"W,80°14'08.45"S,66°48'02.20"W,81°50'43.04"S,62°05'54.06"W,80°45'15.34"S,76°51'50.98"W,82°28'13.26"S,73°58'39.68"W,-81.36785,-69.92055,-80.23568,-66.80061,-81.84529,-62.09835,-80.75426,-76.86416,-82.47035,-73.97769,LC08_L1GT_188120_20170207_20170216_01_T2,LC08_L1GT_188120_20170207_20170216_01_T2,https://earthexplorer.usgs.gov/browse-link/13400/LC81881202017038LGN00
LC08_L1GT_172122_20170207_20170216_01_T2,LC81721222017038LGN00,2017/02/07,T2,1, 172, 122,172, 122,NADIR,0,2017/02/16,2017:038:08:31:59.1526590,2017:038:08:32:30.9226570,LGN,0,0,-1,4,,,,9,LPGS_2.7.0,10.96831131,122.07047349,FINAL,OLI_TIRS_L1GT,OLI_TIRS,16921,17041,8461,8521,8461,8521,PS,,WGS84,WGS84,15,30,30,LO8BPF20170207074656_20170207083311.02,LT8BPF20170126100746_20170211131243.01,LC08CPF_20170101_20170331_01.01,LC08RLUT_20150303_20431231_01_12.h5,81°51'37.01"S,64°59'10.75"W,80°56'12.52"S,59°28'33.74"W,82°41'40.88"S,58°10'55.60"W,80°56'10.32"S,70°31'35.54"W,82°41'34.73"S,71°50'33.86"W,-81.86028,-64.98632,-80.93681,-59.47604,-82.69469,-58.18211,-80.9362,-70.52654,-82.69298,-71.84274,LC08_L1GT_172122_20170207_20170216_01_T2,LC08_L1GT_172122_20170207_20170216_01_T2,https://earthexplorer.usgs.gov/browse-link/13400/LC81721222017038LGN00
LC08_L1GT_204114_20170207_20170216_01_T2,LC82041142017038LGN00,2017/02/07,T2,1, 204, 114,204, 114,NADIR,0,2017/02/16,2017:038:11:46:32.9661110,2017:038:11:47:04.7361080,LGN,0,0,-1,4,,,,9,LPGS_2.7.0,20.63101028,69.37652268,FINAL,OLI_TIRS_L1GT,OLI_TIRS,16721,16861,8361,8431,8361,8431,PS,,WGS84,WGS84,15,30,30,LO8BPF20170207110729_20170207124423.02,LT8BPF20170126100746_20170211131243.01,LC08CPF_20170101_20170331_01.01,LC08RLUT_20150303_20431231_01_12.h5,75°54'07.16"S,58°19'50.88"W,74°40'46.99"S,59°04'21.90"W,75°40'40.84"S,53°22'39.36"W,76°01'46.99"S,63°25'03.29"W,77°07'31.94"S,57°27'03.24"W,-75.90199,-58.3308,-74.67972,-59.07275,-75.67801,-53.3776,-76.02972,-63.41758,-77.12554,-57.4509,LC08_L1GT_204114_20170207_20170216_01_T2,LC08_L1GT_204114_20170207_20170216_01_T2,https://earthexplorer.usgs.gov/browse-link/13400/LC82041142017038LGN00
LC08_L1GT_204028_20170207_20170216_01_T2,LC82040282017038LGN00,2017/02/07,T2,1, 204, 028,204, 028,NADIR,-.001,2017/02/16,2017:038:11:12:14.7870860,2017:038:11:12:46.5570840,LGN,-1,26.28,-1,4,,,,9,LPGS_2.7.0,25.69023493,156.4698695,FINAL,OLI_TIRS_L1GT,OLI_TIRS,15581,15341,7791,7671,7791,7671,UTM,29,WGS84,WGS84,15,30,30,LO8BPF20170207110729_20170207124423.02,LT8BPF20170126100746_20170211131243.01,LC08CPF_20170101_20170331_01.01,LC08RLUT_20150303_20431231_01_12.h5,46°01'46.20"N,6°29'04.38"W,47°05'25.37"N,7°23'08.05"W,46°39'24.91"N,4°57'17.17"W,45°22'52.46"N,7°58'55.06"W,44°57'08.42"N,5°37'25.18"W,46.0295,-6.48455,47.09038,-7.38557,46.65692,-4.95477,45.38124,-7.98196,44.95234,-5.62366,LC08_L1GT_204028_20170207_20170216_01_T2,LC08_L1GT_204028_20170207_20170216_01_T2,https://earthexplorer.usgs.gov/browse-link/13400/LC82040282017038LGN00
LC08_L1TP_003072_20170207_20170216_01_T1,LC80030722017038LGN00,2017/02/07,T1,1, 003, 072,3, 072,NADIR,-.001,2017/02/16,2017:038:14:47:32.5611340,2017:038:14:48:04.3311310,LGN,15.65,21.07,328,4,6.53,3.439,5.55,9,LPGS_2.7.0,58.28276068,90.82429277,FINAL,OLI_TIRS_L1TP,OLI_TIRS,15381,15161,7691,7581,7691,7581,UTM,19,WGS84,WGS84,15,30,30,LO8BPF20170207092549_20170207150818.01,LT8BPF20170126100746_20170211131243.01,LC08CPF_20170101_20170331_01.01,LC08RLUT_20150303_20431231_01_12.h5,17°20'39.88"S,71°24'45.22"W,16°17'49.34"S,72°05'30.12"W,16°39'44.39"S,70°20'31.09"W,18°01'32.52"S,72°29'30.70"W,18°23'43.37"S,70°43'31.58"W,-17.34441,-71.41256,-16.29704,-72.0917,-16.66233,-70.34197,-18.0257,-72.49186,-18.39538,-70.72544,LC08_L1TP_003072_20170207_20170216_01_T1,LC08_L1TP_003072_20170207_20170216_01_T1,https://earthexplorer.usgs.gov/browse-link/13400/LC80030722017038LGN00
LC08_L1GT_156024_20170207_20170216_01_T2,LC81560242017038LGN00,2017/02/07,T2,1, 156, 024,156, 024,NADIR,-.001,2017/02/16,2017:038:06:14:00.2726340,2017:038:06:14:32.0426320,LGN,31.91,31.91,-1,4,0,0,0,9,LPGS_2.7.0,20.8507384,159.34582126,FINAL,OLI_TIRS_L1GT,OLI_TIRS,15901,15721,7951,7861,7951,7861,UTM,42,WGS84,WGS84,15,30,30,LO8BPF20170207060803_20170207065418.02,LT8BPF20170126100746_20170211131243.01,LC08CPF_20170101_20170331_01.01,LC08RLUT_20150303_20431231_01_12.h5,51°41'36.53"N,69°58'57.29"E,52°45'51.98"N,69°00'05.00"E,52°17'45.24"N,71°43'15.82"E,51°03'55.58"N,68°17'16.08"E,50°36'18.25"N,70°54'39.24"E,51.69348,69.98258,52.76444,69.00139,52.2959,71.72106,51.06544,68.2878,50.60507,70.9109,LC08_L1GT_156024_20170207_20170216_01_T2,LC08_L1GT_156024_20170207_20170216_01_T2,https://earthexplorer.usgs.gov/browse-link/13400/LC81560242017038LGN00
LC08_L1TP_156029_20170207_20170216_01_T2,LC81560292017038LGN00,2017/02/07,T2,1, 156, 029,156, 029,NADIR,-.001,2017/02/16,2017:038:06:15:59.6812280,2017:038:06:16:31.4512250,LGN,.05,.05,78,4,14.966,10.134,11.013,9,LPGS_2.7.0,26.80981664,155.77978011,FINAL,OLI_TIRS_L1TP,OLI_TIRS,16021,15821,8011,7911,8011,7911,UTM,42,WGS84,WGS84,15,30,30,LO8BPF20170207060803_20170207065418.02,LT8BPF20170126100746_20170211131243.01,LC08CPF_20170101_20170331_01.01,LC08RLUT_20150303_20431231_01_12.h5,44°36'30.10"N,67°09'36.04"E,45°40'01.67"N,66°16'38.53"E,45°14'27.89"N,68°38'47.51"E,43°57'20.74"N,65°42'13.00"E,43°32'00.85"N,68°00'18.61"E,44.60836,67.16001,45.66713,66.27737,45.24108,68.64653,43.95576,65.70361,43.53357,68.00517,LC08_L1TP_156029_20170207_20170216_01_T2,LC08_L1TP_156029_20170207_20170216_01_T2,https://earthexplorer.usgs.gov/browse-link/13400/LC81560292017038LGN00
LC08_L1TP_003027_20170207_20170216_01_T1,LC80030272017038LGN00,2017/02/07,T1,1, 003, 027,3, 027,NADIR,-.001,2017/02/16,2017:038:14:29:36.8544450,2017:038:14:30:08.6244430,LGN,27.46,41.86,194,4,9.116,6.592,6.296,9,LPGS_2.7.0,24.54335803,157.16260548,FINAL,OLI_TIRS_L1TP,OLI_TIRS,15701,15481,7851,7741,7851,7741,UTM,21,WGS84,WGS84,15,30,30,LO8BPF20170207092549_20170207150818.01,LT8BPF20170126100746_20170211131243.01,LC08CPF_20170101_20170331_01.01,LC08RLUT_20150303_20431231_01_12.h5,47°26'57.62"N,55°23'28.43"W,48°30'44.24"N,56°18'38.41"W,48°04'17.11"N,53°48'57.02"W,46°48'19.22"N,56°55'54.55"W,46°22'11.24"N,54°30'53.10"W,47.44934,-55.39123,48.51229,-56.31067,48.07142,-53.81584,46.80534,-56.93182,46.36979,-54.51475,LC08_L1TP_003027_20170207_20170216_01_T1,LC08_L1TP_003027_20170207_20170216_01_T1,https://earthexplorer.usgs.gov/browse-link/13400/LC80030272017038LGN00
LC08_L1GT_156109_20170207_20170216_01_T2,LC81561092017038LGN00,2017/02/07,T2,1, 156, 109,156, 109,NADIR,0,2017/02/16,2017:038:06:47:54.1836170,2017:038:06:48:25.9536140,LGN,59.55,76.72,-1,4,,,,9,LPGS_2.7.0,26.6276273,59.61654,FINAL,OLI_TIRS_L1GT,OLI_TIRS,18361,18301,9181,9151,9181,9151,PS,,WGS84,WGS84,15,30,30,LO8BPF20170207060803_20170207065418.02,LT8BPF20170126100746_20170211131243.01,LC08CPF_20170101_20170331_01.01,LC08RLUT_20150303_20431231_01_12.h5,69°36'22.46"S,28°25'51.02"E,68°26'28.32"S,27°16'19.34"E,69°10'06.02"S,31°42'48.78"E,69°59'17.52"S,25°00'56.77"E,70°46'00.34"S,29°43'33.89"E,-69.60624,28.43084,-68.4412,27.27204,-69.16834,31.71355,-69.9882,25.01577,-70.76676,29.72608,LC08_L1GT_156109_20170207_20170216_01_T2,LC08_L1GT_156109_20170207_20170216_01_T2,https://earthexplorer.usgs.gov/browse-link/13400/LC81561092017038LGN00
LC08_L1TP_003026_20170207_20170216_01_T1,LC80030262017038LGN00,2017/02/07,T1,1, 003, 026,3, 026,NADIR,-.001,2017/02/16,2017:038:14:29:12.9803510,2017:038:14:29:44.7503490,LGN,37.9,34.45,228,4,9.927,6.281,7.688,9,LPGS_2.7.0,23.35203547,157.87425836,FINAL,OLI_TIRS_L1TP,OLI_TIRS,15681,15481,7841,7741,7841,7741,UTM,21,WGS84,WGS84,15,30,30,LO8BPF20170207092549_20170207150818.01,LT8BPF20170126100746_20170211131243.01,LC08CPF_20170101_20170331_01.01,LC08RLUT_20150303_20431231_01_12.h5,48°51'58.07"N,54°49'46.20"W,49°55'53.33"N,55°46'06.38"W,49°28'56.06"N,53°12'15.37"W,48°13'36.98"N,56°25'01.85"W,47°47'01.97"N,53°56'11.40"W,48.86613,-54.8295,49.93148,-55.76844,49.48224,-53.20427,48.22694,-56.41718,47.78388,-53.9365,LC08_L1TP_003026_20170207_20170216_01_T1,LC08_L1TP_003026_20170207_20170216_01_T1,https://earthexplorer.usgs.gov/browse-link/13400/LC80030262017038LGN00
LC08_L1GT_003115_20170207_20170216_01_T2,LC80031152017038LGN00,2017/02/07,T2,1, 003, 115,3, 115,NADIR,0,2017/02/16,2017:038:15:04:42.7986000,2017:038:15:05:14.5685970,LGN,0,0,-1,4,,,,9,LPGS_2.7.0,19.3921089,72.69964307,FINAL,OLI_TIRS_L1GT,OLI_TIRS,16341,16181,8171,8091,8171,8091,PS,,WGS84,WGS84,15,30,30,LO8BPF20170207092549_20170207150818.01,LT8BPF20170126100746_20170211131243.01,LC08CPF_20170101_20170331_01.01,LC08RLUT_20150303_20431231_01_12.h5,77°02'53.74"S,111°35'54.53"W,75°49'00.98"S,112°05'31.49"W,76°53'40.13"S,106°09'21.89"W,77°05'40.31"S,117°08'17.48"W,78°16'56.78"S,111°00'14.62"W,-77.04826,-111.59848,-75.81694,-112.09208,-76.89448,-106.15608,-77.09453,-117.13819,-78.28244,-111.00406,LC08_L1GT_003115_20170207_20170216_01_T2,LC08_L1GT_003115_20170207_20170216_01_T2,https://earthexplorer.usgs.gov/browse-link/13400/LC80031152017038LGN00
